CropID,CropName,LU_Desc-working,LU Group,SVIHM_CODE,LandIQ Group,LandIQ ID,Cropscape Group,Cropscape ID
65019,WATER COOLING TOWERS,WATER COOLING TOWERS,Water,0,--,,,
65021,DITCH BANK,DITCH BANK,Water,0,"? not sure, multiple categories for ditches NW - WATER SURFACE",NW - 3 OR NW - 2,,
65026,SEWAGE SYSTEM,SEWAGE SYSTEM,Urban-CalPIP,0,? same as above?,,,
65029,INDUSTRIAL PROCESSING WATER,INDUSTRIAL PROCESSING WATER,Water,0,"? same as "" industrial , general processing?"" UI - INDUSTRIAL",UI - 1,,
65031,LAKES,LAKES,Water,0,NW - WATER SURFACE,NW - 4,,
65034,INDUSTRIAL,INDUSTRIAL,Urban-CalPIP,0,?general category UI - INDUSTRIAL,UI,,
65043,WASTE WATER,WASTE WATER,Water,0,NW - WATER SURFACE,NW - 6,,
65501,AQUATIC SITE - HUMAN/ANIMAL USE (COMBINED SITE),AQUATIC SITE - HUMAN/ANIMAL USE (COMBINED SITE),Water,0,"? not sure includes: ""storage and distrubution (railroad marshalling yards)"" UI - INDUSTRIAL",,Other,92
65503,WATER (INDUSTRIAL),WATER (INDUSTRIAL),Water,0,?includes waste or sewage water?,,Water - Other,83
66000,UNCULTIVATED AG,UNCULTIVATED AG,Semiagricultural,0,--,,,
66001,FENCEROWS,FENCEROWS,Semiagricultural,0,--,,,
66002,FALLOW OR IDLE LAND (HEADLANDS OF FIELDS,FALLOW OR IDLE LAND (HEADLANDS OF FIELDS,Idle-Fallow,0,I - IDLE,? not sure depends on land area being cropped or being prepared for crop production?,Non-Crop,61
67000,UNCULTIVATED NON-AG,UNCULTIVATED,Semiagricultural,0,--,,,
67001,AIRPORT,AIRPORT,Urban-CalPIP,0,UV - VACANT,UV - 6,,
67002,RECREATION AREA,RECREATION AREA,Golf Course Turf-Parks,0,R - RECREATIONAL,R,,
67003,BUILDINGS/NON-AG OUTDOOR,BUILDINGS,Urban-CalPIP,0,"? all general buidling including auditoriums, theaters, churches, buildings, etc.  UC - COMMERCIAL",UC - 7,,
67005,RAILROAD RIGHTS-OF-WAY,RAILROAD RIGHTS-OF-WAY,Urban-CalPIP,0,UV - VACANT,UV - 3,,
67008,SEWAGE DISPOSAL AREAS (MUNICIPAL AND OTHER),SEWAGE DISPOSAL AREAS (MUNICIPAL AND OTHER),Urban-CalPIP,0,"? same as "" sewage treatment plant including ponds"" UI - INDUSTRIAL",UI - 13,,
67009,INDUSTRIAL SITES,INDUSTRIAL SITES,Urban-CalPIP,0,?general category UI - INDUSTRIAL,UI,,
67013,RIGHTS-OF-WAY (UNSPEC) (FIRELANES,RIGHTS-OF-WAY (UNSPEC) (FIRELANES,Urban-CalPIP,0,--,,,
67015,FENCEROWS,FENCEROWS,Semiagricultural,0,--,,,
67016,SOIL STERILIZATION OF UNCULT.,SOIL STERILIZATION OF UNCULT.,Idle-Fallow,0,--,,,
68002,RESIDENTIAL,RESIDENTIAL,Urban-CalPIP,0,UR - RESIDENTIAL,UR,,
68005,NON-AGRICULTURAL AREAS (PUBLIC HEALTH TREATMENT),NON-AGRICULTURAL AREAS (PUBLIC HEALTH TREATMENT),Urban-CalPIP,0,"? include ""Sewage treatment plant including ponds""? UI - INDUSTRIAL",UI - 13,,
68009,FENCEROWS,FENCEROWS,Semiagricultural,0,--,,,
68010,ANIMAL BURROWS,ANIMAL BURROWS,Barren-Burned,0,--,,,
68015,MAMMAL CONTROL- WIDE AREA- AG COM,MAMMAL CONTROL- WIDE AREA- AG COM,Barren-Burned,0,--,,,
68501,ANIMAL BURROW ENTRANCES,ANIMAL BURROW ENTRANCES,Barren-Burned,0,--,,,
69000,BOAT/PIER,BOAT/PIER,Urban-CalPIP,0,--,,,
70000,COMMERCIAL TRANSPORT FACILITIES (ALL OR UNSPEC),COMMERCIAL TRANSPORT FACILITIES (ALL OR UNSPEC),Urban-CalPIP,0,--,,,
70005,RAILWAY CARS (NONFEED/FOOD) (TRAINS,RAILWAY CARS (NONFEED/FOOD) (TRAINS,Urban-CalPIP,0,"? not sure includes: ""storage and distrubution (railroad marshalling yards)"" UI - INDUSTRIAL",UI - 3,,
71000,FOOD PROCRESSING PLANT,FOOD PROCRESSING PLANT,Urban-CalPIP,0,"? includes: ""fruit and vegetable canneries and general food processing?"" UI - INDUSTRIAL",,,
71502,FOOD PROCESSING/HANDLING PLANT/AREA (NONFOOD AREA),FOOD PROCESSING/HANDLING PLANT/AREA (NONFOOD AREA),Urban-CalPIP,0,"? includes: ""fruit and vegetable canneries and general food processing?"" UI - INDUSTRIAL",UI - 11,,
72000,RESTAURANT,RESTAURANT,Urban-CalPIP,0,--,,,
73007,FOOD MARKETING,FOOD MARKETING,Urban-CalPIP,0,?not sure,,,
74000,HOSPITAL,HOSPITAL,Urban-CalPIP,0,"? ""Institutions including hospitals, prisons, etc"" UC - COMMERCIAL",UC - 5 ,,
77000,INDUSTRIAL SITE,INDUSTRIAL SITE,Urban-CalPIP,0,?general category UI - INDUSTRIAL,UI,,
77004,COMMERCIAL STORAGES OR WAREHOUSES (ALL OR UNSPEC),COMMERCIAL STORAGES OR WAREHOUSES (ALL OR UNSPEC),Urban-CalPIP,0,"? storage and distrubution warehouses, substations, etc.  UI - INDUSTRIAL",UI - 3,,
87000,FABRIC TREATMENT (FABRICS,FABRIC TREATMENT (FABRICS,Urban-CalPIP,0,--,,,
89000,REFUSE AND SOLID WASTE,REFUSE AND SOLID WASTE,Urban-CalPIP,0,"? same as "" barren or wasteland"" NB - BARREN AND WASTELAND",NB ,,
90013,BEEHIVES,BEEHIVES,Semiagricultural,0,--,,,
90018,UNSPECIFIED SITES (DISINFECTANTS ONLY),UNSPECIFIED SITES (DISINFECTANTS ONLY),Barren-Burned,0,--,,,
90504,FUMIGATION (ALL OR UNSPEC) (SITE CROSS GROUPING),FUMIGATION (ALL OR UNSPEC) (SITE CROSS GROUPING),Barren-Burned,0,--,,,
