chem_code,chem_group,chem_name,chem_alias1,chem_alias2,chem_note
354,Pesticides,LEAD ARSENATE; BASIC,,,
355,Pesticides,2-(2-BUTOXY ETHOXY) ETHYL THIOCYANATE,,,
356,Pesticides,BETA-THIOCYANOETHYL ESTERS OF MIXED FATTY ACIDS,,,
357,Pesticides,ETHYLMERCURIC PHOSPHATE,,,
358,Pesticides,LIME-SULFUR,,,
359,Pesticides,LINDANE,,,
361,Pesticides,LINURON,,,
362,Pesticides,SODIUM HYDROXIDE,,,
365,Pesticides,MAGNESIUM CHLORIDE,,,
366,Pesticides,MALACHITE GREEN,,,
367,Pesticides,MALATHION,,,
368,Pesticides,MALEIC HYDRAZIDE,,,
369,Pesticides,MANEB,,,
372,Pesticides,MERCURIC CHLORIDE,,,
374,Pesticides,MCPP,,,
375,Pesticides,METHIOCARB,,,
378,Pesticides,META-CRESOL,,,
379,Pesticides,METALDEHYDE,,,
382,Pesticides,OXYDEMETON-METHYL,,,
383,Pesticides,METHOMYL,,,
384,Pesticides,METHOXYCHLOR,,,
385,Pesticides,METHYL BROMIDE,,,
387,Pesticides,METHYLENE BLUE,,,
388,Pesticides,METHYLENE CHLORIDE,,,
389,Pesticides,FATTY ACIDS; METHYL ESTERS,,,
391,Pesticides,METHYL FORMATE,,,
392,Pesticides,METHYL ISOTHIOCYANATE,,,
394,Pesticides,METHYL PARATHION,,,
396,Pesticides,N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE,,,
397,Pesticides,BIS BUTENYLENE TETRAHYDRO FURFURAL,,,
401,Pesticides,MINERAL OIL,,,
402,Pesticides,MIREX,,,
404,Pesticides,ETHOPROP,,,
407,Pesticides,TRICHLORO-S-TRIAZINETRIONE,,,
408,Pesticides,MONURON,,,
409,Pesticides,MONURON-TCA,,,
410,Pesticides,OXYTHIOQUINOX,,,
413,Pesticides,HEXACHLOROPHENE; SODIUM SALT,,,
417,Pesticides,NABAM,,,
418,Pesticides,NALED,,,
421,Pesticides,NAPHTHALENE,,,
422,Pesticides,1-NAPHTHALENEACETAMIDE,,,
423,Pesticides,NAA,,,
424,Pesticides,NEBURON,,,
430,Pesticides,NICOTINE SULFATE,,,
432,Pesticides,NOA,,,
435,Pesticides,NOREA,,,
437,Pesticides,NAPTALAM; SODIUM SALT,,,
438,Pesticides,N-PROPYL ISOME,,,
439,Pesticides,NITRAPYRIN,,,
440,Pesticides,OIL OF LEMON,,,
441,Pesticides,OIL OF ORANGE,,,
442,Pesticides,SULFURIC ACID,,,
445,Pesticides,PROPARGITE,,,
446,Pesticides,OMPA,,,
448,Pesticides,ORTHO-PHENYLPHENOL,,,
449,Pesticides,MOLINATE,,,
450,Pesticides,SALICYLANILIDE,,,
452,Pesticides,OVEX,,,
454,Pesticides,METHYLMERCURY DICYANO DIAMIDE,,,
455,Pesticides,PARA-DICHLOROBENZENE,,,
456,Pesticides,PARAFORMALDEHYDE,,,
458,Pesticides,PARAQUAT BIS(METHYLSULFATE),,,
459,Pesticides,PARATHION,,,
460,Pesticides,PARIS GREEN,,,
464,Pesticides,PCNB,,,
465,Pesticides,PENTACHLOROPHENOL,,,
468,Pesticides,DIENOCHLOR,,,
469,Pesticides,PENTANE,,,
470,Pesticides,CAPSICUM OLEORESIN,,,
472,Pesticides,ETHYLAN,,,
473,Pesticides,PETROLEUM HYDROCARBONS,,,
475,Pesticides,PHENOTHIAZINE,,,
477,Pesticides,PHENYLMERCURIC NITRATE,,,
478,Pesticides,PHORATE,,,
479,Pesticides,PHOSALONE,,,
480,Pesticides,MEVINPHOS,,,
481,Pesticides,PHOSTON,,,
482,Pesticides,PHOSPHAMIDON,,,
484,Pesticides,ALUMINUM PHOSPHIDE,,,
485,Pesticides,PINE OIL,,,
486,Pesticides,PIPERONYL BUTOXIDE,,,
487,Pesticides,PIPERONYL CYCLONENE,,,
488,Pesticides,PIPERALIN,,,
489,Pesticides,PINDONE,,,
490,Pesticides,NITRALIN,,,
491,Pesticides,PHENYLMERCURIC ACETATE,PMA,,Shortname
492,Pesticides,PHENYLMERCURIC AMMONIUM ACETATE,PMAA,,Shortname
493,Pesticides,METIRAM,,,
496,Pesticides,POTASH FISH SOAP,,,
497,Pesticides,POTASSIUM CYANATE,,,
498,Pesticides,POTASSIUM PERMANGANATE,,,
499,Pesticides,PROMETON,,,
501,Pesticides,DI(PHENYLMERCURIC) DODECENYL SUCCINATE,,,
502,Pesticides,PROMETRYN,,,
503,Pesticides,PROPANIL,,,
504,Pesticides,PROPAZINE,,,
505,Pesticides,PROPIONIC ACID,,,
506,Pesticides,2;3-DICHLORO PROPENE,,,
507,Pesticides,PROPYLENE GLYCOL,,,
508,Pesticides,PROPYLENE OXIDE,,,
509,Pesticides,PYRAZON,,,
510,Pesticides,PYRETHRINS,,,
511,Pesticides,PROPACHLOR,,,
513,Pesticides,PHOSPHORUS,,,
514,Pesticides,RED SQUILL,,,
516,Pesticides,CYCLOATE,,,
517,Pesticides,RONNEL,,,
518,Pesticides,ROTENONE,,,
519,Pesticides,CRUFOMATE,,,
520,Pesticides,RYANODINE ALKALOID,,,
521,Pesticides,SABADILLA ALKALOIDS,,,
522,Pesticides,ORTHO-BENZYL-PARA-CHLOROPHENOL,,,
529,Pesticides,SILICA AEROGEL,,,
530,Pesticides,SILVEX,,,
531,Pesticides,SIMAZINE,,,
532,Pesticides,TERBACIL,,,
533,Pesticides,DNOC; SODIUM SALT,,,
534,Pesticides,SODIUM ARSENITE,,,
535,Pesticides,SODIUM BENZOATE,,,
536,Pesticides,SODIUM CHLORATE,,,
537,Pesticides,SODIUM FLUORIDE,,,
538,Pesticides,SODIUM FLUOSILICATE,,,
539,Pesticides,SODIUM HYPOCHLORITE,,,
540,Pesticides,PCP; SODIUM SALT,,,
541,Pesticides,SODIUM POLYSULFIDE,,,
542,Pesticides,TRICHLOROACETIC ACID; SODIUM SALT,,,
544,Pesticides,SORBIC ACID,,,
547,Pesticides,SODIUM METABISULFITE,SODIUM BISULFITE,,"2011 change, synonymous"
548,Pesticides,SODIUM DIMETHYL DITHIO CARBAMATE,,,
549,Pesticides,3-CHLORO-P-TOLUIDINE HYDROCHLORIDE,,,
550,Pesticides,STERILIX,,,
553,Pesticides,STROBANE,,,
554,Pesticides,STRYCHNINE,,,
555,Pesticides,STRYCHNINE SULFATE,,,
556,Pesticides,2-MERCAPTOBENZOTHIAZOLE,,,
557,Pesticides,SULFANILAMIDE,,,
558,Pesticides,SULFOTEP,,,
559,Pesticides,SULFOXIDE,,,
560,Pesticides,SULFUR,,,
561,Pesticides,SULFUR DIOXIDE,,,
565,Pesticides,BUTYLATE,,,
566,Pesticides,DEMETON,,,
567,Pesticides,DIBUTYL SUCCINATE,,,
569,Pesticides,TRIBUTYLTIN OXIDE,,,
573,Pesticides,1;3-DICHLOROPROPENE,,,
575,Pesticides,ALDICARB,,,
576,Pesticides,CHLOROXURON,,,
577,Pesticides,TEPP,,,
578,Pesticides,ORTHO-DICHLOROBENZENE,,,
580,Pesticides,TERRAZOLE,,,
581,Pesticides,TETRADIFON,,,
582,Pesticides,TETRAIODO ETHYLENE,,,
586,Pesticides,THANITE,,,
587,Pesticides,THIABENDAZOLE,,,
589,Pesticides,THIRAM,,,
590,Pesticides,PEBULATE,,,
592,Pesticides,NITROFEN,,,
593,Pesticides,PICLORAM,,,
594,Pesticides,TOXAPHENE,,,
595,Pesticides,TRICHLORO ETHYLENE,,,
596,Pesticides,TRIETHYLENE GLYCOL,,,
597,Pesticides,TRIFLURALIN,,,
599,Pesticides,FENTIN HYDROXIDE,,,
600,Pesticides,1;2;4-TRICHLOROBENZENE,,,
602,Pesticides,TRYSBEN,,,
603,Pesticides,SIDURON,,,
604,Pesticides,TURKEY RED OIL,,,
605,Pesticides,TURPENTINE,,,
612,Pesticides,VANCIDE 30-R,,,
613,Pesticides,SODIUM 2-MERCAPTOBENZOTHIAZOLE,,,
614,Pesticides,DICHLOFENTHION,,,
616,Pesticides,METAM-SODIUM,,,
